Algorithm,Optimal Depth,# of Nodes,Depth,Effective Branching Factor
DFS,1,4,1,2.992
BFS,1,4,1,2.992
A*(h1),1,4,1,2.992
A*(h2),1,4,1,2.992
DFS,2,167830,52268,1.0
BFS,2,18,2,3.653
A*(h1),2,7,2,2.0
A*(h2),2,7,2,2.0
DFS,3,150857,64203,1.0
BFS,3,22,3,2.356
A*(h1),3,9,3,1.578
A*(h2),3,9,3,1.578
DFS,4,170324,49284,1.0
BFS,4,65,4,2.506
A*(h1),4,10,4,1.352
A*(h2),4,10,4,1.352
DFS,5,181441,27,1.503
BFS,5,98,5,2.223
A*(h1),5,10,5,1.202
A*(h2),5,10,5,1.202
DFS,6,181220,11248,1.002
BFS,6,108,6,1.936
A*(h1),6,16,6,1.269
A*(h2),6,14,6,1.226
DFS,7,181022,14873,1.001
BFS,7,213,7,1.94
A*(h1),7,23,7,1.29
A*(h2),7,16,7,1.191
DFS,8,138679,65812,1.0
BFS,8,294,8,1.846
A*(h1),8,16,8,1.138
A*(h2),8,16,8,1.138
DFS,9,56749,31425,1.0
BFS,9,669,9,1.896
A*(h1),9,19,9,1.136
A*(h2),9,19,9,1.136
DFS,10,179802,26466,1.0
BFS,10,942,10,1.833
A*(h1),10,50,10,1.278
A*(h2),10,21,10,1.123
DFS,11,172181,46683,1.0
BFS,11,1779,11,1.838
A*(h1),11,79,11,1.309
A*(h2),11,31,11,1.16
DFS,12,90654,49594,1.0
BFS,12,2779,12,1.811
A*(h1),12,113,12,1.32
A*(h2),12,31,12,1.134
DFS,13,121761,62723,1.0
BFS,13,4621,13,1.797
A*(h1),13,176,13,1.341
A*(h2),13,33,13,1.122
DFS,14,144671,65936,1.0
BFS,14,7262,14,1.779
A*(h1),14,283,14,1.362
A*(h2),14,84,14,1.218
DFS,15,168376,51595,1.0
BFS,15,9432,15,1.738
A*(h1),15,523,15,1.396
A*(h2),15,206,15,1.293
DFS,16,98477,53154,1.0
BFS,16,16054,16,1.736
A*(h1),16,510,16,1.359
A*(h2),16,69,16,1.156
DFS,17,152211,63315,1.0
BFS,17,20929,17,1.704
A*(h1),17,1314,17,1.42
A*(h2),17,380,17,1.302
DFS,18,180235,23788,1.0
BFS,18,27935,18,1.679
A*(h1),18,1474,18,1.398
A*(h2),18,240,18,1.238
DFS,19,178237,33211,1.0
BFS,19,24637,17,1.722
A*(h1),19,994,17,1.393
A*(h2),19,265,19,1.228
DFS,20,181204,11416,1.002
BFS,20,55934,20,1.648
A*(h1),20,3599,20,1.416
A*(h2),20,330,20,1.229
